periodo,ipc,pais,fuente,indicador
2003-04,3.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2003-05,2.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2003-06,2.8,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2003-07,2.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2003-08,3.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2003-09,3.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2003-10,2.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2003-11,2.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2003-12,2.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2004-01,2.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2004-02,2.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2004-03,2.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2004-04,2.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2004-05,3.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2004-06,3.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2004-07,3.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2004-08,3.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2004-09,3.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2004-10,3.6,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2004-11,3.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2004-12,3.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2005-01,3.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2005-02,3.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2005-03,3.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2005-04,3.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2005-05,3.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2005-06,3.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2005-07,3.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2005-08,3.3,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2005-09,3.8,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2005-10,3.5,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2005-11,3.4,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2005-12,3.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2006-01,4.2,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2006-02,4.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2006-03,3.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2006-04,3.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2006-05,4.1,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2006-06,4.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2006-07,4.0,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2006-08,3.8,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2006-09,2.9,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2006-10,2.6,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2006-11,2.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
2006-12,2.7,España,Eurostat prc_hicp_manr,IPC variación anual (%)
